date,region,state_name,gen_actual,gen_programmed,capacity,wind_energy,solar_energy,other_renewable_energy,total_renewable_energy,total_gen_with_re,Month,Year
2020-01-04,Western,Chhatisgarh,365.16,291.75,23248.0,7.3,8.5,0.0,15.8,365.16,1,2020
2020-01-04,Western,Goa,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1,2020
2020-01-04,Western,Gujarat,287.0,312.38,26213.41,25.5,8.5,0.5,34.5,321.5,1,2020
2020-01-04,Western,Madhya Pradesh,350.65,353.43,22725.0,6.1,5.6,0.9,12.6,363.25,1,2020
2020-01-04,Western,Maharashtra,344.15,403.74,33040.08,4.6,4.6,0.0,9.2,353.35,1,2020
2020-01-05,Eastern,Andaman And Nicobar Islands,0.36,0.39,40.05,0.0,0.0,0.0,0.0,0.36,1,2020
2020-01-05,Eastern,Bihar,86.47,107.82,6390.0,0.0,0.0,0.36,0.36,86.83,1,2020
2020-01-05,Eastern,Jharkhand,66.33,80.04,4800.0,0.0,0.0,0.0,0.0,66.33,1,2020
2020-01-05,Eastern,Odisha,135.08,137.02,11942.25,0.0,0.0,0.9,0.9,135.98000000000002,1,2020
2020-01-05,Eastern,Sikkim,9.94,9.96,2169.0,0.0,0.0,0.0,0.0,9.94,1,2020
2020-01-05,Eastern,West Bengal,189.7,198.05,15696.2,0.0,0.0,0.0,0.0,189.7,1,2020
2020-01-05,North Eastern,Arunachal Pradesh,2.27,5.3,515.0,0.0,0.0,0.0,0.0,2.27,1,2020
2020-01-05,North Eastern,Assam,22.36,18.96,1719.21,0.0,0.0,0.0,0.0,22.36,1,2020
2020-01-05,North Eastern,Manipur,0.54,1.35,141.0,0.0,0.0,0.0,0.0,0.54,1,2020
2020-01-05,North Eastern,Meghalaya,2.13,2.03,322.0,0.0,0.0,0.0,0.0,2.13,1,2020
2020-01-05,North Eastern,Mizoram,0.4,0.32,60.0,0.0,0.0,0.0,0.0,0.4,1,2020
2020-01-05,North Eastern,Nagaland,0.33,0.13,75.0,0.0,0.0,0.0,0.0,0.33,1,2020
2020-01-05,North Eastern,Tripura,14.53,17.71,1132.1,0.0,0.0,0.0,0.0,14.53,1,2020
2020-01-05,Northern,Delhi,11.01,17.03,2208.4,0.0,0.0,0.24,0.24,11.25,1,2020
2020-01-05,Northern,Haryana,55.36,74.8,5971.59,0.0,0.08,0.84,0.9199999999999999,56.28,1,2020
2020-01-05,Northern,Himachal Pradesh,44.98,39.97,9809.02,0.0,0.0,2.83,2.83,47.81,1,2020
2020-01-05,Northern,Jammu And Kashmir,19.02,16.4,3624.0,0.0,0.0,0.0,0.0,19.02,1,2020
2020-01-05,Northern,Punjab,61.6,81.87,6776.3,0.0,1.21,1.05,2.26,63.86,1,2020
2020-01-05,Northern,Rajasthan,176.57,173.02,11774.13,4.67,8.12,4.86,17.65,194.22,1,2020
2020-01-05,Northern,Uttar Pradesh,329.53,365.14,24843.74,0.0,0.3,21.6,21.900000000000002,351.42999999999995,1,2020
2020-01-05,Northern,Uttarakhand,29.38,25.81,4206.35,0.0,0.53,0.9,1.4300000000000002,30.81,1,2020
2020-01-05,Southern,Andhra Pradesh,174.41,202.33,18117.2,4.84,7.36,0.0,12.2,186.61,1,2020
2020-01-05,Southern,Karnataka,127.57,143.67000000000002,14029.4,13.85,35.01,13.51,62.37,189.94,1,2020
2020-01-05,Southern,Kerala,10.02,12.25,2550.04,0.13,0.24,0.0,0.37,10.39,1,2020
2020-01-05,Southern,Puducherry,0.6,0.61,32.5,0.0,0.0,0.0,0.0,0.6,1,2020
2020-01-05,Southern,Tamil Nadu,220.57,262.09,19007.08,4.93,13.35,0.0,18.28,238.85,1,2020
2020-01-05,Southern,Telangana,112.62,141.56,9588.1,1.0,17.07,0.0,18.07,130.69,1,2020
2020-01-05,Western,Chhatisgarh,362.05,306.16,23248.0,7.3,8.5,0.0,15.8,362.05,1,2020
2020-01-05,Western,Goa,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1,2020
2020-01-05,Western,Gujarat,267.56,305.08,26213.41,31.0,9.8,0.4,41.199999999999996,308.76,1,2020
2020-01-05,Western,Madhya Pradesh,349.97,353.43,22725.0,8.8,6.5,0.9,16.2,366.17,1,2020
2020-01-05,Western,Maharashtra,312.77,403.74,33040.08,21.8,6.0,0.0,27.8,340.57,1,2020
2020-01-06,Eastern,Andaman And Nicobar Islands,0.36,0.39,40.05,0.0,0.0,0.0,0.0,0.36,1,2020
2020-01-06,Eastern,Bihar,89.42999999999999,107.82,6390.0,0.0,0.0,0.48,0.48,89.91,1,2020
2020-01-06,Eastern,Jharkhand,71.29,80.04,4800.0,0.0,0.0,0.0,0.0,71.29,1,2020
2020-01-06,Eastern,Odisha,133.49,137.02,11942.25,0.0,0.0,0.89,0.89,134.38,1,2020
2020-01-06,Eastern,Sikkim,9.79,9.96,2169.0,0.0,0.0,0.0,0.0,9.79,1,2020
2020-01-06,Eastern,West Bengal,199.33,198.05,15696.2,0.0,0.0,0.0,0.0,199.33,1,2020
2020-01-06,North Eastern,Arunachal Pradesh,2.37,5.3,515.0,0.0,0.0,0.0,0.0,2.37,1,2020
2020-01-06,North Eastern,Assam,24.24,18.96,1719.21,0.0,0.0,0.0,0.0,24.24,1,2020
2020-01-06,North Eastern,Manipur,0.56,1.35,141.0,0.0,0.0,0.0,0.0,0.56,1,2020
2020-01-06,North Eastern,Meghalaya,2.22,2.03,322.0,0.0,0.0,0.0,0.0,2.22,1,2020
